800,"Server internal error, please try again later"
801,Request forbidden on this IP for frequent username password or token errors
802,Request forbidden for frequent password errors
8001,"Invalid SOAP version, please use SOAP/1.1 instead"
8002,The Json message you provided is invalid
8101,Username is not set in request header
8102,"The username is invalid, please contact administrator"
8103,"The username is invalid, please contact administrator"
8104,The username in request header is not authorized to login
8201,Password is not set in request header
8202,The password is invalid
8301,The target in request header is invalid
8303,The target in request header is not authorized to login
8401,Token is not set in request header
8402,"The token is invalid, please contact administrator"
8403,"The token is deleted, please contact administrator"
8404,"You didn't apply for Search Marketing API Service, please contact administrator"
8405,"You didn't apply for Network Marketing API Service, please contact administrator"
8406,You are not authorized to login Search Marketing Editor Service
8407,You are not authorized to login Network Marketing Editor Service
8408,You are not authorized to use the token provided in request header
8409,You are not authorized to operate the target provided in request header
8410,You are not authorized to use the token provided in request header
8411,You are not authorized to operate other users
8412,You are not authorized to use this token
8501,You do not have enough quota
8601,"We are unable to serve your request, please try again later"
8602,"We are unable to serve your request, please try again later"
8603,The request header you provided is isvalid
8604,"We are unable to serve your request, please try again later"
8605,"We are unable to serve your request, please try again later"
8606,"We are unable to serve your request, please try again later"
8607,The soap message you provided is invalid
8611,"Time out exception, please try again later"
9012,Do not have authorization to edit this account
9013,System error
9013001,Backend service is not available
9013002,Backend service is not reachable
9013003,Backend System Error
9014,The request object is null
9015,The request object contains null element
9016,This is not a contract-signed user
9019,The request data volume exceeds the limit
90111,The campaign id does not exist
90112,The adgroup id does not exist
90113,The keyword id does not exist
90114,The creative id does not exist
90115,The campaign does not exist
90116,The adgroup does not exist
90117,The keyword does not exist
90118,The creative does not exist
90121,Do not have authorization to edit the campaign
90122,Do not have authorization to edit the adgroup
90123,Do not have authorization to edit the keyword
90124,Do not have authorization to edit the creative
90125,"The request is partial success due to data overload, please try again to ensure the full success"
90126,"Duplicated item IDs in the request, only the operation of the last ID is confirmed."
90127,Partial operations failed
90128,The sublink Id does not exist
90129,The mobileSublink id does not exist
901111,The parameter 'type' is not valid for getting account financial information
901121,The parameter 'type' is not valid for getting changed items
901122,The required startTime is null
901123,The startTime must be earlier than endTime
901124,The startTime can not be earlier than 3 month ago
901125,The returned keyword number can not exceed 20000
901126,The returned creatives number can not exceed 20000
901127,The returned adgroup number can not exceed 20000
901128,The startTime can not be earlier than last month
901131,Do not have authorization to set the account IP exclusion
901132,The account IP exclusion include null element
901133,The number of account IP exclusion can not exceeds 30
901134,The account IP exclusion is not valid
901135,The returned account IP exclusion number exceeds 33
901136,The number of advanced account IP exclusion can not exceeds 3
901141,Do not have authorization to set the account target regoin
901142,The input target region is not valid
901151,Do not have authorization to set the account budget
901152,The account budget is less than 50 RMB
901153,"The account budget is higher than 1,000,000 RMB"
901154,Account budget setting times exceeds the daily limit
901161,Invalid compression method
901162,Last file task not finish
901163,File ID not exist
901164,"File process error, try again later"
901165,The file is still in process
901166,element is missing in campaignSelectedColumn
901167,element is missing in adgroupSelectedColumn
901168,element is missing in keywordSelectedColumn
901169,element is missing in creativeSelectedColumn
901170,selectedRow is invalid
901171,campaignSelectedColumn is invalid
901172,adgroupSelectedColumn is invalid
901173,keywordSelectedColumn is invalid
901174,creativeSelectedColumn is invalid
901175,element 'temp' is required
901176,NewCreativeType is invalid
901177,Type is invalid
901178,changedNewCreativeScales is invalid
901179,operator is invalid
901180,NewCreativeLevel is invalid
901673,includePhraseType is invalid
901183,extended input is invalid
901201,Campaign name is null
901202,Campaign name is longer than 30 bytes
901203,Campaign name already exists
901204,Campaign number exceeds 100
901205,Not authorized to set campaign name
901211,joinContent is null
901212,contentPrice is null when join content
901213,contentPrice should be higher than 0 and lower than 999.99
901221,Not authorized to pause/enable campaign
901231,Not authorized to set campaign budget
901232,Campaign budget is less than 50 RMB
901233,Campaign budget is more than 1000000 RMB
901155,Campaign weekly budget is less than 50 RMB
901156,Campaign weekly budget is more than 10000000 RMB
901235,Campaign budget setting times exceeds daily limit
901241,Not authorized to set campaign target region
901242,Target region can only be set administrator
901243,Campaign target region is not valid
901250,Not authorized to set negative/exact negative keywords
901251,Campaign negative keyword number exceeds 200
901252,Campaign exact negative keyword number exceeds 200
901253,Campaign negative keyword is longer than 40 bytes
901254,Campaign exact negative keyword is longer than 40 bytes
901255,Duplicated words in campaign negative keywords
901256,Duplicated words in campaign exact negative keywords
901257,Campaign negative keywords conflict with existing keywords
901258,Campaign exact negative keywords conflict with existing keywords
901259,Duplicated words between campaign negative and exact negative keywords
901260,Campaign negative keywords include null chracters
901261,Campaign exact negative keywords include null chracters
901262,Campaign negative keywords include special chracters
901265,Campaign exact negative keywords include special chracters
901271,Not authorized to set campaign IP exclusion
901272,Campaign IP exclusion includes null element
901273,Campaign IP exclusion is not valid
901274,Campaign IP exclusion number exceeds 20
901275,The returned campaign IP exclusion number exceeds 20
901281,Creative display param is not valid
901291,Not authorized to set campaign schedules
901292,Campaign schedule is not valid
901294,Campaign schedule format is not valid
901295,Campaign schedule startTime is later than endTime
901301,Not authorized to delete campaigns
901303,device input is not valid
901305,priceRatio input is not valid
901401,'type' is not valid to get adgroups
901411,Adgroup name already exists
901412,Adgroup name is null
901413,Adgroup name is longer than 30 bytes
901414,Adgroups number exceeds 1000
901421,Adgroup bid must be higher than 0 RMB
901422,Adgroup bid must be lower than 999.99 RMB
901425,Adgroup bid is null
901431,Not authorized to pause/enable adgroups
901440,Not authorized to set negative/exact negative keywords
901441,Adgroup negative keyword number exceeds 200
901442,Adgroup exact negative keyword number exceeds 200
901443,Adgroup negative keyword is longer than 40 bytes
901444,Adgroup exact negative keyword is longer than 40 bytes
901447,Adgroup negative keywords conflict with existing keywords
901448,Adgroup exact negative keywords conflict with existing keywords
901449,Duplicate words between adgroup negative and exact negative keywords
901450,Adgroup negative keywords include null chracters
901451,Adgroup exact negative keywords include null chracters
901452,Adgroup negative keywords include special chracters
901455,Adgroup exact negative keywords include special chracters
901461,Not authorized to set adgroup name
901471,Not authorized to delete adgroup
901472,"Accurate, phrases, wide three bid proportion must be input or without input."
901473,Accurate bid proportion range error.
901474,Phrases bid proportion range error
901475,Wide bid proportion range error.
901476,Points matching bid proportional state error.
901477,All information must be submitted first to open sub-match mode
901831,MatchPriceFactor must be accuPriceFactor> = wordPriceFactor> = widePriceFacto
901479,Matchpricefactorstatus can not be null
901481,The price ratio is unsupported
901482,The price ratio of the unit is invalid
901601,'getTemp' is not valid to get keyword IDs
901611,'type' is not valid to get keywords
901612,'getTemp' is not valid to get keywords
901613,'type' is not valid to get keyword status
901614,'type' is not valid to get keyword quality
901631,Duplicate words in submitted keywords
901632,Keyword includes line breaks
901633,Keyword is null
901634,Keyword is longer than 40 bytes
901635,Keyword conflicts with existing keywords
901636,Keywords conflict with existing negative or exact negative keywords
901637,Keywords include special chracters
901638,Keywords trigger blacklist
901639,Keywords include invalid trademarks
901640,Keywords include invalid brands
901641,Keyword match type is not valid
901651,Keyword bid must be higher than 0
901652,Keyword bid must be lower than 999.99
901662,Keyword pcDestinationUrl is longer than 1024 bytes
901669,Keyword mobileDestinationUrl is longer than 1017 bytes
901663,Keyword URL domain conflicts with registered website
901664,Keyword URL domain conflicts with other users
901665,Keyword URL includes special chracters
901666,Keyword URL includes invalid suffix
901667,Keyword URL includes invalid prefix
901671,Keyword number exceeds 5000
901681,Not authorized to pause/enable keywords
901691,Not authorized to delete keywords
901668,Keyword URL is invalid
901672,phraseType is invalid
901674,extended is invalid
9011035,The type of id is invalid
9011036,The type of device is invalid
9011037,The length of id is invalid
9011754,To enable the unit matching bid ratio parameter error
901630,Keyword URL domain is illegal
901860,Creative URL domain is illegal
901801,'getTemp' is not valid to get creative id
901811,'type' is not valid to get creative
901812,'getTemp' is not valid to get creative
901813,Creative number exceeds 50
901814,'type' is not valid to get creative status
901821,Creative title is null
901822,Creative description1 is null
901823,Creative destination URL is null
901824,Default keyword is null
901831,Punctuation ^ exceeds one in creative title
901832,Punctuation ^ is in the creative title beginning or end
901833,Creative title must be longer than 8 bytes and no longer than 50 bytes
901834,Creative title includes special chracters
901835,Creative title triggers blacklist
901836,Creative title includes invalid trademarks
901837,Default keyword in creative title includes special characters
901838,Default keyword in creative title triggers black list
901839,Default keyword in creative title includes invalid trademarks
901841,Punctuation ^ exceeds one in creative description1
901842,Punctuation ^ is in creative description1 beginning or end
901843,Creative description1 must be longer than 8 bytes and no longer than 80 bytes
901844,Creative description1 includes special chracters
901845,Creative description1 triggers blacklist
901846,Creative description1 includes invalid trademarks
901847,Default keyword in description1 includes special characters
901848,Default keyword in description1 triggers blacklist
901849,Default keyword in description1 includes invalid trademarks
901851,Creative description2 is longer than 80 bytes
901852,Creative description2 includes special chracters
901853,Creative description2 triggers blacklist
901854,Creative description2 includes invalid trademarks
901855,Default keyword in description2 includes special characters
901856,Default keyword in description2 triggers blacklist
901857,Default keyword in description2 includes invalid trademarks
901861,Creative pcDestinationUrl is longer than 1024 bytes
901862,Creative mobileDestinationUrl is longer than 1017 bytes
901863,Creative URL domain conflicts with the registered website
901864,Creative URL domain confilcts with other users
901865,Creative URL includes special chracters
901866,Creative URL includes invalid suffix
901867,Creative URL includes invalid prefix
901871,Display URL is longer than 36 bytes
901872,Display URL domain conflicts with the registered website
901873,Display URL domain confilcts with other users
901874,Display URL includes special chracters
901875,Display URL includes invalid suffix
901876,Display URL includes invalid prefix
901881,Not authorized to pause/enable creatives
901882,Creative title includes invalid brands
901883,Default keyword in creative title includes invalid brands
901884,Creative description1 includes invalid brands
901886,Default keyword in description1 includes invalid brands
901887,Creative description2 includes invalid brands
901888,Default keyword in description2 includes invalid brands
901891,Not authorized to delete creatives
901892,Creative title+description triggers blacklist
901893,Creative title+description includes invalid trademarks
901894,Creative title+description includes invalid brands
901895,"Specific certifications required for the creative, visit the URL page for more information"
901868,Creative URL is invalid
901910,"Server internal error, please try again later."
901911,"The request data is too much, please scale down your request and try again"
901912,"The request time out, please adjust your request or try again later"
901913,You are not authorized to get this report
901914,"You are not authorized to get the impression,ctr,cpm"
901915,The report ID is not valid
901916,The report ID is null
901917,The report ID format is invalid
901918,"Server internal error, please try again later"
901919,"The request time out, please adjust your request or try again later"
901920,The request platform is invalid
901921,The request reportType is invalid
901922,The request unitOfTime is invalid
901923,The request report format is invalid
901924,The request performance data is invalid
901925,The input region ids of regionReport is invalid
901930,The startDate is null or earlier than 20010917
901931,The endDate is null
901932,The endDate is earlier than startDate
901933,The startDate for keyword(keywordid) report can not be earlier than 20091031
901934,The startDate for region report can not be earlier than 20090420
901935,"For query report, If after noon 11:51, the startDate can be between[yesterday, yesterday-31], if before noon 11:51, the startDate can be between[the day before yesterday, the day before yesterday-31] , and the endDate-startDate should not be longer than 31"
901936,"For query report, If after noon 11:51, the endDate can be between[yesterday, yesterday-31], if before noon 11:51, the endDate can be between [the day before yesterday, the day before yesterday-31] , and the endDate-startDate should not be longer than 31"
901937,The time range(endDate-startDate) of keyword creative pairing report can not be longer than 31
901940,The timeofUnit of query report can only be daily
901950,The levelOfDetails for account report can only be account level
901951,The levelOfDetails for campaign report can only be campaign level
901952,The levelOfDetails for agroup report can only be adgroup level
901953,The levelOfDetails for keyword(wordid) report can only be wordid level
901954,The levelOfDetails for keyword(keywordid) report can only be keywordid level
901955,The levelOfDetails for creative report can only be creative level
901956,"The levelOfDetails for region report can only be campaign, adgroup or wordid level"
901957,The levelOfDetails for query report can only be creative level
901958,The levelOfDetails for pairing report can only be keyword-creative level
901960,The range for account report can only be account level
901961,"The range for campaign report can only be account, campaign lelve"
901962,"The range for adgroup report can only be account, campaign, adgroup level"
901963,"The range for keyword(wordid) report can only be account, campaign, adgroup, wordid level"
901964,"The range for keyword(keywordid) report can only be account, campaign, adgroup, keywordid level"
901965,"The range for creative report can only be account, campaign, adgroup, creative level"
901966,"The range for pairing report can only be account, campaign, adgroup, creative, keywordid level"
901967,"The range for query report can only be account, campaign level"
901968,The report range can not be more detail than its levelOfDetails
901970,The platform for keyword creative pairing report can only be search
901971,The platform for query report can only be search
901972,The platform for keyword(keywordid) report can not be content
901973,The platform for keyword(wordid) report can not be content
901974,The platform can only be search when the levelOfDetails of region report is keywordid
901980,The startDate can not be earlier than 20081031 when request impression related performance data
901981,The account report can not provide average position in performance data
901982,Region report can not provide average position when start date is earlier than 20081031
901983,Region report can not provide average position if platform is not search
901984,Creative report can not provide average position when start date is earlier than 20081031
901985,Creative report can not provide average position if platform is not search
901986,Keyword(keywordid) report can not provide average position when start date is earlier than 20081031
901987,Keyword(keywordid) report can not provide average position if platform is not search
901988,Keyword(wordid) report can not provide average position when start date is earlier than 20081031
901989,Keyword(wordid) report can not provide average position if platform is not search
901990,The keyword-creative pairing report can not provide average position in performance data
901991,The campaign report can not provide average position in performance data
901992,The query report can not provide average position in performance data
901993,The adgroup report can not provide average position in performance data
901994,The query report can only provide impression data
901995,The startDate for pairing report can not be earlier than 20091201
