COUNTDOWN_INVALID_DATE_FORMAT,Invalid date argument in countdown function.
COUNTDOWN_DATE_IN_PAST,Countdown end date is in the past.
COUNTDOWN_INVALID_LOCALE,Invalid locale string in countdown function.
COUNTDOWN_INVALID_START_DAYS_BEFORE,Days-before argument to countdown function is not positive.
AD_CUSTOMIZERS_NOT_SUPPORTED_FOR_AD_TYPE,Ad customizers are not supported for ad type.
APPROXIMATELY_TOO_LONG,Estimating character sizes the string is too long.
APPROXIMATELY_TOO_SHORT,Estimating character sizes the string is too short.
BAD_SNIPPET,There is a problem with the snippet.
CANNOT_SET_BUSINESS_NAME_IF_URL_SET,business name and url cannot be set at the same time
CANNOT_SET_FIELD,The specified field is incompatible with this ad's type or settings.
CANNOT_SET_FIELD_WITH_ORIGIN_AD_ID_SET,Cannot set field when originAdId is set.
CANNOT_SET_URL,Cannot specify a url for the ad type
CANNOT_SET_WITHOUT_FINAL_URLS,Cannot specify a tracking or mobile url without also setting final urls
CANNOT_SET_WITH_FINAL_URLS,Cannot specify a legacy url and a final url simultaneously
CANNOT_SET_WITH_TRACKING_URL_TEMPLATE,Cannot specify a legacy url and a tracking url template simultaneously in a DSA.
CUSTOMER_NOT_APPROVED_MOBILEADS,Customer is not approved for mobile ads.
CUSTOMER_NOT_APPROVED_THIRDPARTY_ADS,Customer is not approved for 3PAS richmedia ads.
CUSTOMER_NOT_APPROVED_THIRDPARTY_REDIRECT_ADS,Customer is not approved for 3PAS redirect richmedia (Ad Exchange) ads.
CUSTOMER_NOT_ELIGIBLE,Not an eligible customer
CUSTOMER_NOT_ELIGIBLE_FOR_UPDATING_BEACON_URL,Customer is not eligible for updating beacon url
DIMENSION_ALREADY_IN_UNION,There already exists an ad with the same dimensions in the union.
DIMENSION_MUST_BE_SET,Ad's dimension must be set before setting union dimension.
DIMENSION_NOT_IN_UNION,Ad's dimension must be included in the union dimensions.
DISPLAY_URL_CANNOT_BE_SPECIFIED,Display Url cannot be specified (applies to Ad Exchange Ads)
DOMESTIC_PHONE_NUMBER_FORMAT,"Telephone number contains invalid characters or invalid format. Please re-enter your number using digits (0-9), dashes (-), and parentheses only."
EMERGENCY_PHONE_NUMBER,Emergency telephone numbers are not allowed. Please enter a valid domestic phone number to connect customers to your business.
EMPTY_FIELD,A required field was not specified or is an empty string.
FEED_ATTRIBUTE_MUST_HAVE_MAPPING_FOR_TYPE_ID,A feed attribute referenced in an ad customizer tag is not in the ad customizer mapping for the feed.
FEED_ATTRIBUTE_MAPPING_TYPE_MISMATCH,The ad customizer field mapping for the feed attribute does not match the expected field type.
