0001,"This error can result for a variety of reasons, typically because one of the parameter values in the request is wrong or invalid and the operation cannot be completed."
0002,An internal error has occurred. Please try again later. If the problem persists please contact Yahoo! Japan API team for assistance. Be sure to include your SOAP Request and Response with your report.
0003,Frequency limit exceeded. Please try your request again later.
0004,Account cannot be accessed at this location. Please use the LocationService to retrieve the URL prefix for the colocation the account is assigned to.
0005,You have exceeded the daily operation quota for this web service. The daily quota is reset at midnight in JST.
0006,The soap header is missing required parameter.
0007,The number value is incorrect for this parameter.
0008,The string value is incorrect for this parameter.
0009,Your request contains an enumeration type value that is not valid.
0010,You have submitted an invalid ID. One of the ID indicated in the request was not found. This error may also result if onBehalfOfAccountId is not associated with the accountId which is in your request. Check the ID.
0011,The given apiAccountId could not log in. This could happen because of an incorrect apiAccountPassword or does not match the license in the request header.
0011,The given OnBehalfOfAccountId could not log in. This could happen because of an incorrect OnBehalfOfPassword or does not match the accountId in the request header.
0012,The accountId or onBehalfOfAccountId indicated in the request is not active.
0013,The operation is not available. This error may also result if you specified a operation which does not exist. Check the operator.
0014,The selector is invalid. This error result if you specified multiple selector in your request body. Check the operator.
0015,The operation is invalid. This error result if you specified multiple operation in your request body. Check the operator.
0016,This service does not support mutate operation.
0017,Number of elements exceed maximum allowed in this object. Please reduce the size of your list based request and submit it again.
0018,The request failed because the requested size was too large. Adjust the data range or parameter and retry the request again.
0050,Number of items are too many.
0051,Number of items are too little.
0052,The number of values are too many.
0053,The number of values are too little.
0054,The number of values are too long.
0055,The number of values are too short.
0056,The number is too large.
0057,The number is too small.
0058,The vlaues are duplicate.
0059,The same values are already set. Please set in different value.
0060,The date format is not valid.
0061,The setting is out from the limited range
0062,The relations is not valid.
0063,The setting is over the limit.
0064,URL that been set is not valid.
0065,The step value is not valid.
0066,Date has been set before the possible date range.
0067,Date has been set after the possible date range.
0099,It is under maintenance. API cannot be used.
20110005,You have submitted invalid account IDs.
20110006,Account IDs exceed maximum allowed.
20110007,You have submitted invalid account IDs. One of the account ID indicated in the request is not valid.
20110011,You have submitted an invalid account statuses.
20110012,Account statuses exceed maximum allowed.
20110013,You have submitted an invalid account statuses. One of the account status indicated in the request is not valid.
20130008,You have submitted an invalid account.
20130009,Account is required.
20130010,Accounts exceed maximum allowed.
20130011,You have submitted an invalid account ID.
20130012,Account ID is required.
20130013,You have specified a duplicate account ID.
20130014,Account ID indicated in the request was not found.
20130015,You cannot perform write operations for this accout.
20130019,Account name specified in the request is not a valid account name.
20130020,Account name specified in the request is empty. It should be not empty.
20130021,Account name is too long.
20130022,Account Type is read-only.
20130027,Delivery status specified in the request is not a valid delivery status.
20130028,You can not specify delivery status.
20410003,Account ID is required.
20410004,You have submitted an invalid account ID
20410005,Account IDs exceed maximum allowed.
20410006,You have submitted invalid account IDs. One of the account ID indicated in the request is not valid.
20410007,One of the account IDs indicated in the request was not found. Check your account IDs.
20410008,This operation is not applicable for account which choose payment type is invoice.
20410009,The operation failed to get account balance.
20410003,Account ID is required.
20410004,You have submitted an invalid account ID.
20410005,Account IDs exceed maximum allowed.
20410006,You have submitted invalid account IDs. One of the account ID indicated in the request is not valid.
20410007,One of the account IDs indicated in the request was not found. Check your account IDs
20410008,This operation is not applicable for account which choose payment type is invoice.
20410009,The operation failed to get account balance.
0018,Failed operations due to data size excess.
10100,The entity is having status as deleted. This error may also result if account status is not active or the entity does not exist.
10200,"To update destinationUrl at keyword BiddableAdGroupCriterion, approbalStatus of the keyword must be ""APPROVED"""
10300,Number of entities exceed maximum allowed. Please reduce the size of your request and submit it again.
10400,"The name you specified for a campaign, ad group, ad was not unique. Please choose one that is unique."
10501,Accelerated delivery method is not supported for budget optimizer. This error may also result if biddingStrategyType does not match campaign's biddingStrategyType.
10601,You cannot set/add amount greater than the amount specified for the campaign budget.
10602,Have to set/add amount greater than the budget set for ad group or keywords of specific campaign.
10701,The BiddableAdGroupCriterion already exists for NegativeAdGroupCriterion and vice versa.
10702,"The name you specified for a keyword with match type already exists in the campaign/ad group, cannot be duplicated."
10900,Invalid platformType.
10901,Invalid device preference setting. It is only valid in Unified Campaign.
20101,The operation is missing a required field or parameter or the value is empty.
20102,The operation requires array.
20103,Number of elements exceed maximum allowed. Please reduce the size of your request and submit it again.
20104,Specified list/container must not contain any null elements You must provide at least one valid object in this operation
20105,The operation requires associative array (hash).
20401,An element of added entity is duplicated with existing entity.
20601,The number value is incorrect for this parameter.
20602,A money amount was greater than the minimum allowed.
20603,A money amount was greater than the maximum allowed.
20604,Invalid increments for budget amount.
20701,The string value is incorrect for this parameter.
20702,The string has too few characters.
20703,The string has too many characters.
20901,The date value is incorrect for this parameter. The string date's format should be yyyymmdd.
20902,Date is before the date range.
20903,Date is after the date range.
21001,Your request contains an enumeration type value that is not valid.
21301,Specified target type cannot be set to the campaign.
21401,The IDs or cliterionUse you provided is not valid. This error may also result if you have specified an enddate which is earlier than the start date.
21601,The url or destinationUrl in your request appears to be malformed or incomplete. Please check it.
120001,Request does not exist.
120003,The number format is invalid.
120016,The number is larger.
120017,The number is small.
120018,The same Ad Group ID in the array.
120022,Data does not exist.
120027,Array is two or more.
210605,Data Auto Insertion has been selected for App ad support.
210300,"Bid type or Auto Bidding ID is not set, or both Bid type and Auto Bidding ID are set."
210301,Designating the Auto bidding that in updating or deleted mode.
210302,Designating the Auto bidding that is related to conversion.
210303,Conversion tracking is not valid.
210304,Conversion performance is not enough.
210305,"Setting the Auto Bidding of ""Target CPC"" or ""Maximize conversions"" to campaign, when Bid settings are made to keywords."
210306,Conversion optimizer is not available.
210307,Set the budget higher than the budget set in Ad Group and/or Keyword.
210308,"Cannot set Auto Bidding when Campaign is not ""ACTIVE""."
210309,"Cannot set Auto Bidding when Campaign is not ""MANUAL_CPC""."
210310,Bid type does not match.
210403,Conversion is not enough.Conversion related bidding strategy has been set in Mobile app download campaign for iOS.
210400,Cannot set both Bidding type and Auto bidding ID.
210401,Designating the Auto bidding that in updating or deleted mode.
210402,Conversion tracking is not valid.
210404,"Setting the Auto Bidding of ""Target CPC"" or ""Maximize conversions"" to campaign, when Bid settings are made to keywords."
210405,Please change the budget to avoid exceeding the limit.
210406,Conversion optimizer is not available.
210407,"Cannot set Auto Bidding when Campaign is not ""ACTIVE""."
210408,"Cannot set Auto Bidding when Campaign is not ""MANUAL_CPC""."
210409,It has exceeded the bid limit for Ad Group.
210500,Cannot set both Bidding type and Auto bidding ID.
210501,Designating the Auto bidding that in updating or deleted mode.
210502,Conversion tracking is not valid.
210503,Conversion performance is not enough.
210504,"Setting the Auto Bidding of ""Target CPC"" or ""Maximize conversions"" to Campaign."
210505,"Setting the Auto Bidding of ""Target CPC"" or ""Maximize conversions"" to Ad Group."
210506,Designated keyword cannot be set for Auto bidding.
210507,Please change the budget to avoid exceeding the limit.
210508,"In order to update the Custom URL, keywords have to be ""APPROVED""."
210509,Cannot set as bid keyword that is already set as negative keywords. Same for vice versa.
210510,Designated keywords or match type is already exist in the Campaign or Ad Group.
210511,Conversion optimizer is not available.
210512,"Cannot set Auto Bidding when Campaign is not ""ACTIVE""."
210513,"Cannot set Auto Bidding when Campaign is not ""MANUAL_CPC""."
210517,Cannot set more than 10 keywords.
210200,"Cannot delete because Auto Bidding is set to either Campaign, Ad Group, or Keyword."
210201,Click minimum value is set higher value than maximum value.
210202,Registered Auto Bidding type and requested Auto Bidding type does not match.
0002,An internal error has occurred. Please try again later. If the problem persists please contact Yahoo! JAPAN API team for assistance. Be sure to include your SOAP Request and Response with your report.
30001,The error occurs when you create 31st report definitions. The limitation of report definitions you can store is 30. Please check and remove old report definitions.
30101,The error occurs when you create 51st ONE TIME report job.The limitation of ONE TIME report job ID you can store is 50.Please check and remove old report job.
40001,The operation is missing a required field or parameter or the value is empty.
40002,The operation requires array.
40003,Number of elements exceed maximum allowed. Please reduce the size of your request and submit it again.
40004,Specified list/container must not contain any null elements. You must provide at least one valid object in this operation
40011,The number value is incorrect for this parameter.
40012,The number is too small.
40013,The number is too big.
40021,The string value is incorrect for this parameter.
40022,The string has too few characters.
40023,The string has too many characters.
40024,The url or destinationUrl in your request appears to be malformed or incomplete. Please check it.
40026,The name element for this object contains one or more illegal characters.
40031,Date is before allowed minimum.Date is after allowed maximum.
40032,Date is outside of allowed range.
40041,Your request contains an enumeration type value that is not valid.
40051,This fault usually occurs when you have specified an enddate which is earlier than the start date.
40100,Report delete procedure is made during report creation.
60003,The error occurs when the report ID you specified does not exixt.
60004,The error occurs when you deleted report definitions of the active report job.
0002,An internal error has occurred. Please try again later. If the problem persists please contact Yahoo! Japan API team for assistance. Be sure to include your SOAP Request and Response with your report.
40004,Specified list/container must not contain any null elements You must provide at least one valid object in this operation
40013,The number is too small.
20002,You have submitted an invalid account.
20003,The number is too big.
20004,The number is too small.
30002,"Parameter is invalid. Please make sure the parameter is not duplicated, lost or empty."
40002,Parameter is invalid.
40003,The keyword has too many characters.
40004,Your request contains an enumeration type value that is not valid.
50002,Parameter specified in the request is lost or empty.
50004,Number of elements exceed maximum allowed in this request.
80001,You specified duplicated value.
80003,AdGroup in the request was not found.
80004,Keyword in the request was not found.
80006,Number of keyword token exceed maximum allowed in this request.
80007,No search term or URL is specified. When you specify EXCLUDED_KEYWORD you need to specify RELATED_TO_KEYWORD or RELATED_TO_URL.
120026,Biddable keyword is required.
120001,Required
120002,Value is invalid
120010,Item is too many
120012,Value is too many
120014,Value is too long
120016,Value is too large
120017,Value is too small.
120018,Value is duplicated.
120022,Not active
120023,Limit is over
120024,Relation is invalid
210004,Snipet format is invalid.
210101,URL format in LINK_URL from FeedItemService is invalid. This error occur when adding the FeedItem information on QUICKLINK.
210102,Phone number in CALL_PHONE_NUMBER from FeedItemService is invalid. This error occur when adding the FeedItem information on CALLEXTENSION.
210103,"Combination of placeholderType and feedItemId is not correct. For example, defining CALLEXTENSION in feedItemId for QUICKLINK in placeholderType in CampaignFeedSerivce or AdGroupFeedService."
